ward_name_vi,ward_name_norm,district_name_vi,district_name_norm
Phường Bạch Mai,phuong bach mai,Quận Hai Bà Trưng,quan hai ba trung
Phường Ba Đình,phuong ba đinh,Quận Ba Đình,quan ba dinh
Phường Bồ Đề,phuong bo đe,Quận Long Biên,quan long bien
Phường Cầu Giấy,phuong cau giay,Quận Cầu Giấy,quan cau giay
Phường Chương Mỹ,phuong chuong my,Huyện Chương Mỹ,huyen chuong my
Phường Cửa Nam,phuong cua nam,Quận Hoàn Kiếm,quan hoan kiem
Phường Đại Mỗ,phuong đai mo,Quận Nam Từ Liêm,quan nam tu liem
Phường Định Công,phuong đinh cong,Quận Hoàng Mai,quan hoang mai
Phường Đống Đa,phuong đong đa,Quận Đống Đa,quan dong da
Phường Đông Ngạc,phuong đong ngac,Quận Bắc Từ Liêm,quan bac tu liem
Phường Dương Nội,phuong duong noi,Quận Hà Đông,quan ha dong
Phường Giảng Võ,phuong giang vo,Quận Ba Đình,quan ba dinh
Phường Hà Đông,phuong ha đong,Quận Hà Đông,quan ha dong
Phường Hai Bà Trưng,phuong hai ba trung,Quận Hai Bà Trưng,quan hai ba trung
Phường Hoàng Liệt,phuong hoang liet,Quận Hoàng Mai,quan hoang mai
Phường Hoàng Mai,phuong hoang mai,Quận Hoàng Mai,quan hoang mai
Phường Hoàn Kiếm,phuong hoan kiem,Quận Hoàn Kiếm,quan hoan kiem
Phường Hồng Hà,phuong hong ha,,
Phường Khương Đình,phuong khuong đinh,Quận Thanh Xuân,quan thanh xuan
Phường Kiến Hưng,phuong kien hung,Quận Hà Đông,quan ha dong
Phường Kim Liên,phuong kim lien,Quận Đống Đa,quan dong da
Phường Láng,phuong lang,Quận Đống Đa,quan dong da
Phường Lĩnh Nam,phuong linh nam,Quận Hoàng Mai,quan hoang mai
Phường Long Biên,phuong long bien,Quận Long Biên,quan long bien
Phường Nghĩa Đô,phuong nghia đo,Quận Cầu Giấy,quan cau giay
Phường Ngọc Hà,phuong ngoc ha,Quận Ba Đình,quan ba dinh
Phường Ô Chợ Dừa,phuong o cho dua,Quận Đống Đa,quan dong da
Phường Phúc Lợi,phuong phuc loi,Quận Long Biên,quan long bien
Phường Phú Diễn,phuong phu dien,Quận Bắc Từ Liêm,quan bac tu liem
Phường Phú Lương,phuong phu luong,Quận Hà Đông,quan ha dong
Phường Phương Liệt,phuong phuong liet,Quận Thanh Xuân,quan thanh xuan
Phường Phú Thượng,phuong phu thuong,Quận Tây Hồ,quan tay ho
Phường Sơn Tây,phuong son tay,Thị xã Sơn Tây,thi xa son tay
Phường Tây Hồ,phuong tay ho,Quận Tây Hồ,quan tay ho
Phường Tây Mỗ,phuong tay mo,Quận Nam Từ Liêm,quan nam tu liem
Phường Tây Tựu,phuong tay tuu,Quận Bắc Từ Liêm,quan bac tu liem
